player,minute,second,x,y,type,outcome,endX,endY
messi,45,0,50,50,Pass,Successful,40,43
messi,45,25,63,48,Pass,Successful,75,83
messi,46,4,74,58,Pass,Successful,71,65
messi,46,7,76,68,Pass,Successful,95,78
messi,46,55,100,1,Pass,Unsuccessful,96,38
messi,47,42,73,25,Pass,Successful,70,54
messi,49,47,75,43,Pass,Unsuccessful,82,38
messi,50,10,79,31,Pass,Successful,87,24
messi,50,17,82,52,Pass,Successful,93,68
messi,50,24,98,62,Pass,Unsuccessful,98,61
messi,55,22,30,12,Pass,Successful,22,24
messi,56,24,38,42,Pass,Successful,37,51
messi,56,36,53,44,Pass,Successful,43,62
messi,56,43,61,63,Pass,Successful,64,63
messi,57,2,96,33,Pass,Successful,91,34
messi,62,25,46,45,Pass,Successful,38,43
messi,62,31,49,67,Pass,Successful,61,96
messi,63,36,64,22,Pass,Successful,63,10
messi,63,40,74,7,Pass,Successful,66,9
messi,63,42,70,6,Pass,Successful,63,9
messi,63,43,67,4,Pass,Successful,62,9
messi,63,48,69,4,Pass,Successful,62,9
messi,66,27,65,36,Pass,Successful,71,51
messi,67,40,73,58,Pass,Unsuccessful,87,41
messi,68,19,66,67,Pass,Successful,60,69
messi,69,25,71,79,Pass,Successful,63,72
messi,71,29,64,30,Pass,Successful,69,60
messi,71,46,81,57,Pass,Successful,96,71
messi,73,44,50,50,Pass,Successful,47,52
messi,76,11,67,43,Pass,Successful,75,41
messi,76,25,77,41,Pass,Unsuccessful,84,37
messi,77,59,100,100,Pass,Successful,92,96
messi,78,3,88,96,Pass,Successful,69,82
messi,78,9,83,96,Pass,Successful,81,83
messi,78,58,64,51,Pass,Successful,69,83
messi,79,5,67,67,Pass,Successful,66,54
messi,79,19,70,56,Pass,Successful,85,87
messi,79,31,76,84,Pass,Successful,65,73
messi,80,26,100,1,Pass,Successful,92,5
messi,80,30,82,3,Pass,Successful,76,17
messi,81,14,59,4,Pass,Successful,69,4
messi,81,20,80,6,Pass,Successful,81,19
messi,83,14,71,40,Pass,Unsuccessful,88,55
messi,87,24,58,42,Pass,Successful,66,74
messi,88,22,100,1,Pass,Successful,73,26
messi,90,18,71,25,Pass,Unsuccessful,91,52
messi,91,18,66,31,Pass,Successful,76,20
messi,91,46,74,38,Pass,Unsuccessful,76,36
messi,94,7,57,37,Pass,Unsuccessful,90,54