Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Interceptions,Tkl+Int,Clearances,Errors
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-259,1990,19.7,1.62,0.96,0.71,1.37,3.45,6.55,2.84,1.02,1.57,1.73,3.35,2.03,0.05
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-225,1997,11.6,0.69,0.34,0.09,0.43,3.28,1.12,6.12,6.72,0.78,0.17,0.86,1.47,0
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-306,1996,28.1,1.03,0.57,0.21,0.57,4.7,1.71,5.41,7.12,0.89,0.36,1.39,0.57,0.04
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-233,1997,29.8,1.28,0.77,0.57,0.54,1.78,3.66,1.64,0.23,1.17,1.68,2.95,7.38,0.03
5,Adrián\Adrian,es ESP,GK,Liverpool,34-132,1987,3,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33
6,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32-347,1988,5.9,0.51,0,0.34,1.36,4.07,1.36,5.08,8.64,0.85,0.68,1.19,0.17,0
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-219,1996,28.9,1.63,0.87,0.59,0.8,2.11,4.74,3.11,0.76,1.56,1.76,3.39,4.19,0
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-343,2001,13.7,2.12,1.09,0.8,0.88,4.53,8.03,4.38,1.75,1.68,0.88,2.99,2.48,0
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-187,1993,27.9,2.04,1.47,0.65,0.54,4.48,7.46,3.33,0.57,1.9,1.25,3.3,4.7,0.07
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-086,1995,8.9,1.69,0.67,0.45,0.11,2.81,3.93,3.37,0.9,0.67,0.56,2.25,2.92,0
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-178,1989,17.8,2.19,1.63,1.01,1.85,6.8,5.79,7.25,4.55,1.52,1.52,3.71,1.35,0
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-034,1991,17.6,3.24,2.05,0.97,1.48,6.82,5.74,11.5,5.34,1.48,1.76,5,0.85,0
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-074,1989,21.9,1.55,0.73,0.59,0.5,2.97,5.16,3.06,0.14,1.96,0.46,2.01,6.8,0
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-086,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-220,1998,30.7,1.76,1.11,1.01,0.75,3.52,3.62,3.45,2.51,1.34,1.34,3.09,2.12,0.03
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-092,1992,24.3,2.88,1.44,1.07,1.85,5.43,8.68,8.23,2.76,1.69,1.28,4.16,2.26,0
17,Alisson\Alisson,br BRA,GK,Liverpool,28-225,1992,30,0,0,0,0.03,0.03,0.17,0,0,0,0,0,0.03,0.23
18,Allan\Allan,br BRA,MF,Everton,30-127,1991,19.8,3.23,2.17,1.16,2.88,8.23,12.1,14.2,1.57,1.67,1.06,4.29,1.26,0
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-034,1996,4.2,1.67,1.19,0.48,1.19,6.9,5,11.7,12.9,1.43,1.9,3.57,0.71,0
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-094,1994,25.1,1.91,1.12,0.64,1.51,4.3,6.57,7.93,4.58,1.43,1.04,2.95,0.96,0.04
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-138,1990,10.7,1.21,0.75,0.28,1.31,3.83,5.7,4.58,2.8,2.06,1.03,2.24,3.46,0
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-249,1998,8.2,2.07,1.59,0.24,0.49,5.85,4.39,6.95,3.9,1.83,0.61,2.68,1.1,0.12
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-145,1994,8,1.5,0.75,0.88,0.63,3,4.63,2.75,0.38,2.38,1.5,3,5.25,0
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-243,2000,23.2,2.67,1.55,0.91,1.21,4.35,7.76,5.95,1.77,2.07,1.68,4.35,5.17,0.09
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-349,1996,28.7,1.25,0.77,0.59,0.59,2.16,4.08,1.74,0.38,1.05,1.67,2.93,7.7,0.03
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-190,2002,0,0,0,0,0,1,0,3,0,0,0,0,0,0
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-030,1993,0,1,1,0,2,1,1,2,0,0,0,1,0,0
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-048,1990,19.2,0.57,0.26,0.1,0.26,2.92,0.73,3.75,6.46,1.09,0.36,0.94,0.42,0
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-077,1993,34,0.03,0.03,0.03,0.09,0,0.12,0,0,0,0,0.03,0,0.03
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-046,1992,27.9,2.4,1.43,1.04,1.65,4.77,5.56,7.17,3.62,1.08,1.04,3.44,0.68,0.04
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-224,1994,6,0,0,0,0.17,0,0.33,0,0,0,0,0,0,0.67
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-331,1989,24,0.71,0.21,0.17,0.67,3.25,2.29,5.42,5.63,1.08,0.25,0.96,0.58,0
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-142,1992,17.8,4.1,2.13,1.18,1.69,6.29,11.8,7.08,2.7,2.42,1.35,5.45,2.92,0.11
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-314,1989,1.5,2.67,2,0.67,0.67,4.67,3.33,5.33,6.67,0,1.33,4,2,0
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-246,1991,22.2,2.25,1.44,0.63,1.31,6.94,5.9,15,8.11,1.26,1.13,3.38,0.45,0
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-263,1991,34.8,3.02,1.75,1.01,1.21,4.86,7.41,5.26,1.44,2.16,1.61,4.63,2.61,0.06
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-260,1989,22.4,2.14,1.25,0.85,0.54,4.11,6.34,5.67,2.05,1.47,1.56,3.71,4.15,0.04
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,27-033,1994,9.2,0.87,0.54,0,0,1.96,2.61,2.5,0.22,1.85,2.17,3.04,5,0
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-265,1991,13.3,1.8,1.05,0.9,0.9,3.38,6.62,3.31,0.15,1.88,1.05,2.86,6.69,0.08
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-067,1993,29,1.72,0.83,0.72,0.86,3.52,6.45,5.62,2.79,1.41,1.14,2.86,2.62,0
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-303,1989,8.8,1.59,1.02,0.45,0.91,3.75,2.84,5.45,4.32,1.7,1.02,2.61,1.93,0
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-252,1993,31.8,0.69,0.47,0.16,0.63,5.03,1.01,7.39,9.03,0.47,0.41,1.1,1.07,0
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-321,1985,3,2,1.33,0.67,0.67,3,5.67,6.33,1,1.33,1,3,4.67,0
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-161,1993,0.5,0,0,0,0,2,4,4,2,0,0,0,0,0
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-161,1993,17,0.35,0.12,0.18,0.53,3.41,2.06,8.41,3.94,1.12,0.29,0.65,0.47,0
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-197,1989,14.5,1.03,0.41,0.28,0.55,3.31,1.52,4.97,6.62,1.03,0.28,1.31,0.62,0
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-157,1997,21.6,1.02,0.65,0.19,0.69,3.19,2.82,4.21,3.47,1.11,0.74,1.76,0.6,0
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-358,1991,25.7,0.93,0.62,0.31,0.78,2.8,4.79,3.07,0.39,2.45,0.93,1.87,7.28,0.08
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-299,1988,25.6,2.81,1.76,1.41,1.13,4.1,7.27,4.65,1.76,1.76,1.52,4.34,3.95,0.04
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-225,1993,8.1,0.37,0.37,0.25,0.86,2.59,0.99,6.67,5.8,1.23,0.25,0.62,0.62,0.12
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,25-033,1996,33.4,1.38,0.81,0.66,0.87,2.78,4.88,2.99,0.33,1.68,2.22,3.59,6.2,0.03
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,24-027,1997,4.8,2.08,1.67,0.21,1.88,4.79,2.92,10,4.38,2.08,1.25,3.33,1.46,0
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,26-057,1995,23.2,1.47,0.78,0.52,1.25,2.72,3.75,4.31,1.59,2.16,0.56,2.03,1.77,0
54,Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,25-278,1995,14.1,1.91,1.28,0.5,1.28,4.54,5.32,9.08,3.83,0.78,0.78,2.7,0.57,0
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-161,1999,2.9,2.76,1.72,1.38,1.38,4.14,5.17,5.86,1.38,1.03,0.34,3.1,0.69,0
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-163,1990,18.3,0.71,0.49,0,0.38,2.79,0.87,6.39,4.48,0.93,0.22,0.93,1.86,0
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-200,1990,12.9,1.24,0.85,0.7,0.85,3.18,3.18,4.81,3.1,1.4,1.01,2.25,0.78,0
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-090,1998,12.4,1.69,1.29,0.4,0.97,5.08,5.65,9.27,2.58,1.61,0.24,1.94,1.53,0.08
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-219,1997,11.9,1.09,0.67,0.5,1.43,4.2,4.45,6.81,5.71,0.84,0.84,1.93,0.34,0
60,Bernard\Bernard,br BRA,FWMF,Everton,28-249,1992,4.6,1.09,0.87,0.65,1.96,3.26,4.78,5.87,3.48,1.74,1.3,2.39,0.65,0
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,26-001,1995,2.3,3.48,2.17,1.74,0.87,5.65,6.52,3.91,4.35,2.61,0,3.48,1.3,0
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-283,1989,28.9,2.46,1.49,0.97,0.69,4.26,4.19,5.05,1.73,1.63,1.07,3.53,1.94,0.03
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-258,1996,31.6,3.26,2.09,0.79,1.23,5.47,6.71,7.37,1.55,1.68,1.68,4.94,1.9,0
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-292,2000,11.3,3.01,1.42,1.68,1.24,5.4,8.85,6.55,3.89,2.21,1.59,4.6,1.86,0
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-101,1991,19,2,1.21,0.63,0.74,2.74,5.42,2.11,0.16,1.37,0.89,2.89,5.21,0
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-146,1996,26.6,0.75,0.45,0.19,0.86,3.12,2.93,4.51,4.21,1.28,0.75,1.5,0.15,0
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-121,1992,11.7,1.88,1.03,0.77,1.88,3.5,5.3,6.41,3.76,2.14,0.77,2.65,2.05,0.09
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,21-044,2000,12.1,1.07,0.58,0,0.99,4.88,0.99,9.34,8.6,1.24,0.5,1.57,0.25,0
69,Nathan Broadhead\Nathan-Broadhead,wal WAL,MF,Everton,23-040,1998,0,1,0,0,0,0,0,1,0,0,0,1,0,0
70,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-147,1995,28.8,1.63,0.87,0.31,1.08,3.96,3.51,8.61,3.75,2.01,1.74,3.37,1.84,0
71,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-240,1993,5.3,2.45,1.51,0.75,1.32,3.96,5.66,4.34,2.64,2.83,1.7,4.15,3.58,0
72,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-195,1996,11.2,2.14,1.34,0.8,0.54,3.93,7.23,5.18,0.98,2.32,2.5,4.64,6.25,0.27
73,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,24-038,1997,14.1,1.28,0.71,0.35,1.63,5.39,2.48,13.3,13.6,1.49,0.14,1.42,0.28,0
74,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,29-006,1992,19.9,2.01,0.8,0.85,1.51,4.47,6.33,5.08,2.21,1.76,1.46,3.47,3.97,0
75,David Button\David-Button,eng ENG,GK,West Brom,32-077,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,23-045,1998,0.2,0,0,0,5,0,15,0,10,0,0,0,0,0
77,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-229,1981,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-147,1985,17,0.71,0.41,0.18,0.35,1.41,3.29,1.24,0.41,2.12,0.88,1.59,6.29,0.06
79,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-115,1991,8.4,0.6,0.48,0,0.36,2.5,2.14,3.81,1.79,0.71,0.12,0.71,0.36,0
80,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-060,1997,28.9,0.55,0.38,0.07,0.31,3.08,0.8,4.57,5.36,1.07,0.17,0.73,1.04,0
81,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-353,1994,25.4,3.03,1.69,1.61,1.89,4.76,5.35,4.92,2.99,1.5,2.05,5.08,1.42,0.04
82,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-095,2000,3.8,2.37,1.84,1.58,1.58,5.26,6.58,7.37,5.26,1.05,0.53,2.89,0,0
83,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-129,1989,4.3,0.47,0.23,0,1.16,3.26,1.63,6.51,5.12,0.47,0.23,0.7,2.33,0
84,Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,35-254,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Fabio Carvalho\Fabio-Carvalho,eng ENG,MF,Fulham,18-258,2002,0.1,0,0,0,0,10,0,0,30,0,0,0,0,0
86,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-281,1997,26.4,2.95,1.67,1.29,1.59,4.81,8.79,6.36,1.74,2.92,1.86,4.81,4.17,0.08
87,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-225,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-161,1995,24.1,2.41,1.37,0.79,1,3.82,5.31,5.02,3.11,1.87,0.83,3.24,2.41,0.04
89,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-073,1994,5.5,1.64,1.09,0.91,2.36,4.55,6.73,7.82,3.45,1.82,1.27,2.91,1.45,0
90,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-209,1993,24.5,1.06,0.78,0.16,0.61,4.65,3.14,6.37,6.04,1.43,0.61,1.67,0.78,0.04
91,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-090,1987,14.3,0.84,0.56,0.21,0.63,3.78,1.05,4.97,7.62,0.35,0.56,1.4,0.77,0
92,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-281,1996,17.9,2.23,1.84,0.73,2.01,4.19,6.76,5.64,3.35,1.62,1.34,3.58,1.17,0
93,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-115,1995,6.4,0.63,0.16,0.31,0.78,3.13,5.47,3.28,1.88,2.03,1.41,2.03,5.78,0
94,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-145,1996,23.4,1.88,1.2,0.64,0.9,4.27,5.04,5.26,2.31,2.65,1.07,2.95,2.31,0
95,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-226,1997,3.5,3.14,2,0.57,2.29,5.14,5.14,8.86,1.14,2.57,1.43,4.57,1.71,0.29
96,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,25-035,1996,15.2,1.32,0.79,0.33,0.39,2.5,3.75,2.5,0.59,1.71,1.71,3.03,5.26,0.07
97,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-231,1989,21,1.29,0.67,0.14,0.33,2.33,4.86,2,0.57,2.14,1.24,2.52,6.38,0.14
98,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,30-040,1991,12.7,1.65,0.71,0.71,0.55,2.44,5.75,2.28,1.18,1.97,1.02,2.68,2.52,0
99,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-079,1993,33.7,0.83,0.59,0.39,0.62,1.81,3.95,1.34,0.06,1.6,0.65,1.48,4.33,0.03
100,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-216,1988,16,2.19,1.5,1,1.25,4.19,7.69,3.88,2.06,2.06,1.19,3.38,2.19,0.06
101,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-107,2000,8.3,0.84,0.6,0.12,0.48,4.46,0.72,6.63,6.75,0.96,0,0.84,0.12,0
102,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-258,1991,22.3,3.09,2.02,1.39,1.03,4.8,7.22,4.04,0.36,1.88,1.97,5.07,4.93,0.04
103,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-324,1989,12.2,1.8,1.15,0.74,1.07,4.67,4.1,8.2,3.36,1.39,0.98,2.79,1.56,0
104,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,27-123,1994,12.8,2.34,1.17,0.7,1.8,5.63,7.27,7.97,5.47,1.48,0.47,2.81,0.7,0
105,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-266,1992,30.9,2.46,1.29,1.42,1.33,3.69,7.22,3.95,2.07,2.23,1.13,3.59,3.75,0.03
106,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-151,1989,32.2,0.9,0.37,0.43,0.56,1.83,3.48,2.3,0.5,1.4,0.93,1.83,2.83,0
107,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-132,1998,0.3,0,0,0,0,6.67,6.67,3.33,13.3,0,0,0,0,0
108,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,30-026,1991,34.9,2.12,1.35,0.8,1.95,5.1,5.96,7.48,2.21,1.55,1.63,3.75,1.43,0.03
109,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-090,1987,15,0.67,0.47,0.2,0.6,1.13,2.73,1.33,0.07,1.73,0.53,1.2,5,0.07
110,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-219,1990,25,0,0,0,0.08,0,0.08,0,0,0,0.04,0.04,0.08,0
111,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,28-021,1993,15,1.73,0.87,0.67,1.27,2.8,6.07,4.27,1.93,1.6,0.87,2.6,4.8,0
112,Tom Davies\Tom-Davies,eng ENG,MF,Everton,22-319,1998,14.7,2.18,1.84,0.61,1.84,5.58,7.07,7.41,2.18,1.36,2.04,4.22,1.97,0
113,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,23-091,1998,3,1,1,0,0.33,5,1.33,11,7.33,0.67,0,1,0.67,0
114,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-123,2000,0.4,0,0,0,5,0,12.5,15,2.5,7.5,5,5,0,0
115,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,31-009,1990,18.4,0.65,0.54,0.16,0.43,2.23,4.29,2.07,0.16,1.41,1.52,2.17,6.52,0.05
116,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-321,1991,21.2,1.75,1.46,0.47,1.79,5.61,1.98,7.55,7.22,1.18,0.75,2.5,0.33,0
117,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-096,2003,0.4,0,0,0,0,2.5,0,12.5,2.5,0,0,0,0,0
118,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-175,1989,3,1.67,0.67,0.33,0.33,2,4,6,0,1.33,1.33,3,1,0
119,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,26-030,1995,26,1.85,1.08,0.88,1.31,5.38,8.15,7.77,1.73,2.15,0.92,2.77,2.81,0
120,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,29-199,1991,13.2,0.61,0.3,0.08,0.23,3.03,0.98,3.33,6.14,0.53,0.15,0.76,1.29,0
121,Amad Diallo\Amad-Diallo,ci CIV,FW,Manchester Utd,18-308,2002,0.9,1.11,1.11,0,0,6.67,7.78,8.89,3.33,2.22,2.22,3.33,2.22,0
122,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,22-068,1999,10,2.7,2.2,0.7,1.3,6.8,7.4,12.1,1.4,1.4,1.3,4,1.6,0
123,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,23-026,1998,12.3,2.52,1.46,0.98,1.63,4.63,10.7,7.24,4.55,2.11,1.06,3.58,0.33,0
124,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,24-152,1996,23.3,1.37,0.73,0.43,1.55,3.86,4.25,6.01,5.06,1.55,1.29,2.66,1.29,0
125,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,24-001,1997,29.6,0.98,0.68,0.14,0.41,1.96,2.7,2.2,0.57,1.42,0.71,1.69,3.45,0
126,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,27-120,1994,26,0.88,0.54,0.42,0.35,1.73,3.58,1.96,0.31,1.77,0.85,1.73,6.08,0
127,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,27-299,1993,26.8,2.54,1.31,0.93,0.75,3.51,6.46,4.44,2.57,2.09,0.78,3.32,3.13,0
128,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29-311,1991,4.1,0.73,0.24,0,0.24,0.73,1.71,1.71,0,0.73,0,0.73,2.93,0.24
