Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
379,Tyler Roberts\Tyler-Roberts,wal WAL,MFFW,Leeds United,22-049,1999,6.7,0,13,4,30.8,1.94,0.6,0,0,18.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
380,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,26-356,1994,25.9,1,14,4,28.6,0.54,0.15,0.07,0.25,16,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
381,Antonee Robinson\Antonee-Robinson,us USA,DF,Fulham,23-206,1997,18,0,6,2,33.3,0.33,0.11,0,0,16.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
382,Callum Robinson\Callum-Robinson,ie IRL,FWMF,West Brom,26-028,1995,13.2,2,20,7,35,1.52,0.53,0.1,0.29,21.9,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
383,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,27-182,1993,6.7,0,3,0,0,0.44,0,0,,9.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
384,Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FWMF,West Brom,31-285,1989,2.6,0,4,2,50,1.55,0.77,0,0,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
385,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,24-079,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
386,Joe Rodon\Joe-Rodon,wal WAL,DF,Tottenham,23-131,1997,4.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
387,Rodri\Rodri,es ESP,MF,Manchester City,24-253,1996,21.1,1,22,5,22.7,1.04,0.24,0,0,21.1,0,1,1,1.8,1,0.05,-0.8,-1,Matches
388,Rodrigo\Rodrigo,es ESP,MF,Leeds United,29-361,1991,11,3,34,11,32.4,3.1,1,0.09,0.27,14.9,1,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
389,James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,29-233,1991,14.9,5,27,15,55.6,1.81,1,0.19,0.33,20.2,3,0,0,2.6,2.6,0.1,+2.4,+2.4,Matches
390,Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,31-216,1989,12.3,1,21,6,28.6,1.7,0.49,0.05,0.17,19,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
391,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,29-159,1991,19.2,1,14,4,28.6,0.73,0.21,0.07,0.25,24,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
392,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,27-364,1993,11,0,9,4,44.4,0.82,0.36,0,0,18.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
393,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28-328,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
394,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28-328,1992,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
395,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,23-355,1997,10.6,2,16,7,43.8,1.51,0.66,0.13,0.29,19.9,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
396,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,30-341,1990,16.7,3,18,8,44.4,1.07,0.48,0.17,0.38,12,1,0,0,1.5,1.5,0.08,+1.5,+1.5,Matches
397,Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,19-178,2001,20.7,5,49,18,36.7,2.37,0.87,0.1,0.28,15.6,1,0,0,5.7,5.7,0.12,-0.7,-0.7,Matches
398,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,31-017,1990,3.1,0,1,0,0,0.33,0,0,,12,0,0,0,0,0,0.02,0,0,Matches
399,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,28-260,1992,23.4,17,73,30,41.1,3.13,1.28,0.15,0.37,16.1,1,6,6,13.7,9.2,0.13,+3.3,+1.8,Matches
400,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,21-319,1999,2.9,0,2,0,0,0.69,0,0,,14.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
401,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,24-263,1996,10.5,0,5,0,0,0.48,0,0,,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
402,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,23-104,1997,15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
403,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Aston Villa,26-196,1994,0.5,0,1,0,0,1.87,0,0,,30,0,0,0,0,0,0.01,0,0,Matches
404,Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,West Brom,29-120,1991,16.5,0,4,0,0,0.24,0,0,,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
405,Dane Scarlett\Dane-Scarlett,eng ENG,FW,Tottenham,16-343,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
406,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,29-072,1991,13.4,0,10,4,40,0.74,0.3,0,0,27.2,3,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
407,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Crystal Palace,28-069,1992,10.8,2,13,6,46.2,1.2,0.55,0.15,0.33,12,0,0,0,1.3,1.3,0.1,+0.7,+0.7,Matches
408,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,34-117,1986,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
409,Nélson Semedo\Nelson-Semedo,pt POR,DF,Wolves,27-106,1993,22.6,0,18,8,44.4,0.8,0.35,0,0,22.9,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
410,Jamie Shackleton\Jamie-Shackleton,eng ENG,MFDF,Leeds United,21-145,1999,5.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
411,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MFFW,Liverpool,29-143,1991,4.8,0,8,0,0,1.67,0,0,,21.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
412,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,35-025,1986,6.9,3,7,3,42.9,1.01,0.43,0.14,0.33,15.3,0,2,2,2.7,1.2,0.17,+0.3,-0.2,Matches
413,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,25-233,1995,19.5,0,5,3,60,0.26,0.15,0,0,17.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
414,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,29-003,1992,17.1,1,30,7,23.3,1.76,0.41,0.03,0.14,24.3,9,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
415,Shola Shoretire\Shola-Shoretire,eng ENG,FW,Manchester Utd,17-028,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
416,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,31-175,1989,15.6,4,23,7,30.4,1.47,0.45,0.09,0.29,20,3,2,2,3.6,2.1,0.09,+0.4,-0.1,Matches
417,Bernardo Silva\Bernardo-Silva,pt POR,MFFW,Manchester City,26-204,1994,16.5,2,21,11,52.4,1.28,0.67,0.1,0.18,15,0,0,0,2.2,2.2,0.1,-0.2,-0.2,Matches
418,Fábio Silva\Fabio-Silva,pt POR,FW,Wolves,18-226,2002,8.4,2,24,7,29.2,2.87,0.84,0.04,0.14,12,0,1,1,3.8,3.1,0.13,-1.8,-2.1,Matches
419,Thiago Silva\Thiago-Silva,br BRA,DF,Chelsea,36-161,1984,16.2,2,9,4,44.4,0.56,0.25,0.22,0.5,7.6,0,0,0,0.8,0.8,0.09,+1.2,+1.2,Matches
420,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,31-198,1989,15.3,0,2,1,50,0.13,0.07,0,0,11,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
421,Islam Slimani\Islam-Slimani,dz ALG,FW,Leicester City,32-257,1988,0.2,0,1,0,0,4.5,0,0,,11,0,0,0,0,0,0.04,0,0,Matches
422,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,21-009,2000,1.9,0,1,1,100,0.52,0.52,0,0,19.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
423,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MFFW,Arsenal,20-217,2000,9.5,0,7,1,14.3,0.74,0.11,0,0,16.2,0,0,0,1,1,0.14,-1,-1,Matches
424,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Brom,33-176,1987,5.5,0,2,1,50,0.37,0.18,0,0,12.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
425,Robert Snodgrass\Robert-Snodgrass,sco SCO,FWDF,West Ham,33-176,1987,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
426,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,29-183,1991,6.8,0,5,1,20,0.74,0.15,0,0,26.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
427,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,26-003,1995,26,8,40,17,42.5,1.54,0.65,0.2,0.47,11.4,0,0,0,5.8,5.8,0.15,+2.2,+2.2,Matches
428,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,24-283,1996,10.2,0,4,1,25,0.39,0.1,0,0,11.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
429,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25-334,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
430,Dale Stephens\Dale-Stephens,eng ENG,MF,Burnley,31-263,1989,2.9,0,4,0,0,1.38,0,0,,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
431,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,27-034,1994,11.4,0,3,1,33.3,0.26,0.09,0,0,7.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
432,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,26-084,1994,20.9,9,44,22,50,2.11,1.05,0.2,0.41,13.3,2,0,1,9,8.3,0.19,0,+0.7,Matches
433,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,30-236,1990,18,0,11,3,27.3,0.61,0.17,0,0,19.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
434,John Stones\John-Stones,eng ENG,DF,Manchester City,26-278,1994,16,3,7,3,42.9,0.44,0.19,0.43,1,10.4,0,0,0,1.3,1.3,0.19,+1.7,+1.7,Matches
435,Pascal Struijk\Pascal-Struijk,nl NED,DFMF,Leeds United,21-203,1999,14.8,1,9,3,33.3,0.61,0.2,0.11,0.33,7.5,0,0,0,1.8,1.8,0.2,-0.8,-0.8,Matches
436,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,21-336,1999,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
437,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,25-165,1995,23.8,0,5,2,40,0.21,0.08,0,0,20.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
438,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,28-103,1992,24,0,13,4,30.8,0.54,0.17,0,0,8.5,0,0,0,1.5,1.5,0.12,-1.5,-1.5,Matches
439,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,26-293,1994,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
440,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,27-165,1993,17.6,0,2,1,50,0.11,0.06,0,0,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
441,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,32-023,1989,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
442,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,19-071,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
443,Nathan Tella\Nathan-Tella,eng ENG,MFFW,Southampton,21-240,1999,2.9,0,4,1,25,1.38,0.35,0,0,20.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
444,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,28-077,1992,5.7,0,4,1,25,0.71,0.18,0,0,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
445,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,25-144,1995,9.6,0,2,0,0,0.21,0,0,,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
446,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,19-265,2001,4.5,0,3,1,33.3,0.67,0.22,0,0,18.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
447,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,23-299,1997,25.3,6,28,13,46.4,1.11,0.51,0.14,0.31,23.4,2,2,2,3.3,1.8,0.06,+2.7,+2.2,Matches
448,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,23-270,1997,18.9,1,12,3,25,0.64,0.16,0.08,0.33,24.7,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
449,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,31-338,1989,4.3,0,1,0,0,0.23,0,0,,5.1,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
450,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,23-073,1997,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
451,Ferrán Torres\Ferran-Torres,es ESP,FW,Manchester City,21-001,2000,8.9,2,20,8,40,2.24,0.9,0.1,0.25,16,0,0,0,2.6,2.6,0.13,-0.6,-0.6,Matches
452,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,29-268,1991,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
453,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,29-229,1991,18.3,1,21,7,33.3,1.15,0.38,0.05,0.14,21,1,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
454,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,27-363,1993,12.8,0,4,2,50,0.31,0.16,0,0,18.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
455,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,25-036,1996,18.8,0,20,5,25,1.06,0.27,0,0,21,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
456,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,25-177,1995,14.3,5,34,14,41.2,2.38,0.98,0.15,0.36,15.3,2,0,0,3.9,3.9,0.12,+1.1,+1.1,Matches
457,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,26-152,1994,9.3,0,24,8,33.3,2.59,0.86,0,0,13.7,0,0,0,2.7,2.7,0.12,-2.7,-2.7,Matches
458,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,26-088,1994,19.3,2,41,15,36.6,2.13,0.78,0.05,0.13,17,1,0,0,3.8,3.8,0.09,-1.8,-1.8,Matches
459,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,24-294,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
460,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,23-108,1997,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
461,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,23-231,1997,3.1,0,10,2,20,3.2,0.64,0,0,23.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
462,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,22-008,1999,1.1,0,2,0,0,1.75,0,0,,25.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
463,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,34-050,1987,19.7,12,48,19,39.6,2.43,0.96,0.13,0.32,13.3,0,6,7,14.6,9.3,0.19,-2.6,-3.3,Matches
464,Joël Veltman\Joel-Veltman,nl NED,DF,Brighton,29-046,1992,17.3,1,10,4,40,0.58,0.23,0.1,0.25,15,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
465,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,28-211,1992,17.5,3,16,7,43.8,0.91,0.4,0.19,0.43,10.5,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches
466,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,21-327,1999,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
467,Carlos Vinícius\Carlos-Vinicius,br BRA,FW,Tottenham,25-342,1995,1.8,0,5,3,60,2.78,1.67,0,0,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
468,Vitinha\Vitinha,pt POR,MF,Wolves,21-017,2000,2.6,0,4,1,25,1.55,0.39,0,0,18.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
469,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,20-350,2000,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
470,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,28-305,1992,7,0,16,3,18.8,2.29,0.43,0,0,14.2,0,0,0,2,2,0.12,-2,-2,Matches
471,Theo Walcott\Theo-Walcott,eng ENG,FW,Everton,31-351,1989,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
472,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Southampton,31-351,1989,13.7,2,24,9,37.5,1.75,0.66,0.08,0.22,19.9,0,0,0,2.6,2.6,0.11,-0.6,-0.6,Matches
473,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,30-278,1990,15.3,1,9,3,33.3,0.59,0.2,0.11,0.33,28.6,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
474,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,23-323,1997,18.8,0,8,3,37.5,0.43,0.16,0,0,20.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
475,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,23-096,1997,24,2,7,3,42.9,0.29,0.12,0.29,0.67,15.9,0,0,0,0.8,0.8,0.12,+1.2,+1.2,Matches
476,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,31-124,1989,13.1,0,1,0,0,0.08,0,0,,25,0,0,0,0,0,0.04,0,0,Matches
477,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,26-121,1994,26,5,24,13,54.2,0.92,0.5,0.21,0.38,23.5,13,0,0,1.4,1.4,0.06,+3.6,+3.6,Matches
478,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,25-062,1995,24,10,65,29,44.6,2.71,1.21,0.14,0.31,12.3,0,1,2,11.5,10,0.15,-1.5,-1,Matches
479,Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,19-045,2002,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
480,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,26-057,1995,21.8,0,20,5,25,0.92,0.23,0,0,13.2,0,0,0,1,1,0.05,-1,-1,Matches
481,Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,30-096,1990,8.2,2,19,8,42.1,2.32,0.98,0.11,0.25,12.7,0,0,1,4.4,3.6,0.19,-2.4,-1.6,Matches
482,Timo Werner\Timo-Werner,de GER,FW,Chelsea,24-361,1996,20.5,5,55,21,38.2,2.69,1.03,0.09,0.24,13.7,0,0,0,8.4,8.4,0.15,-3.4,-3.4,Matches
483,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30-335,1990,25.9,1,8,4,50,0.31,0.15,0.13,0.25,21.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
484,Ben White\Ben-White,eng ENG,DFMF,Brighton,23-145,1997,24.5,0,6,0,0,0.25,0,0,,17.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
485,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,30-111,1990,23.7,2,22,7,31.8,0.93,0.3,0.09,0.29,16.8,1,0,0,2.7,2.7,0.12,-0.7,-0.7,Matches
486,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,20-180,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
487,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,19-323,2001,1.9,0,1,0,0,0.52,0,0,,14.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
488,Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,20-027,2001,1.3,0,1,0,0,0.74,0,0,,10,0,0,0,0,0,0.04,0,0,Matches
489,Willian\Willian,br BRA,FWMF,Arsenal,32-205,1988,12.4,0,17,2,11.8,1.37,0.16,0,0,17.1,3,0,0,1.9,1.9,0.11,-1.9,-1.9,Matches
490,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,21-194,1999,2.6,0,4,0,0,1.51,0,0,,10.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
491,Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,21-194,1999,3.9,1,4,3,75,1.03,0.78,0.25,0.33,9.3,0,0,0,0.8,0.8,0.21,+0.2,+0.2,Matches
492,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,29-003,1992,20.1,10,36,12,33.3,1.79,0.6,0.17,0.5,12.5,0,4,4,9.5,6.5,0.18,+0.5,-0.5,Matches
493,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,25-028,1996,6.3,0,3,1,33.3,0.48,0.16,0,0,29.6,0,0,0,0,0,0.01,0,0,Matches
494,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,29-085,1991,18.9,4,31,18,58.1,1.64,0.95,0.13,0.22,10.9,0,0,0,6.1,6.1,0.2,-2.1,-2.1,Matches
495,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,28-156,1992,20.1,1,14,4,28.6,0.7,0.2,0.07,0.25,24.1,6,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
496,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,31-130,1989,4,0,7,2,28.6,1.76,0.5,0,0,19.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
497,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27-236,1993,4.8,0,2,0,0,0.41,0,0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
498,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,26-358,1994,2.9,0,2,0,0,0.69,0,0,,22,0,0,0,0,0,0.02,0,0,Matches
499,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,28-112,1992,18.5,9,43,14,32.6,2.32,0.76,0.16,0.5,16.2,0,2,2,6,4.5,0.1,+3.0,+2.5,Matches
500,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,25-106,1995,20.9,0,23,5,21.7,1.1,0.24,0,0,22.5,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
501,Andi Zeqiri\Andi-Zeqiri,ch SUI,FWDF,Brighton,21-253,1999,0.8,0,5,0,0,6.62,0,0,,12.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
502,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,24-077,1996,10.1,0,8,2,25,0.79,0.2,0,0,21.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
503,Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,27-348,1993,8,1,22,8,36.4,2.74,1,0.05,0.13,22.2,0,0,0,1,1,0.05,0,0,Matches
504,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,26-126,1994,16,4,15,8,53.3,0.94,0.5,0.27,0.5,10.8,0,0,0,1,1,0.07,+3.0,+3.0,Matches
505,Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,22-075,1998,2.6,0,3,0,0,1.16,0,0,,17.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
